"#","Product","Link","Brand","Sellers","Variations","Price","Category","Rank","Est. Sales","Est. Revenue","Reviews","Rating","FBA"
"47","Jeep Duck Flag T-Shirt","http://www.amazon.com//dp/B0B17DR3BX","Visit the Jeep Store","1","354","$22.97","Clothing, Shoes &amp; Jewelry","170,186","16","$368","114 ","4.8","-"
"48","Disney - Mickey Baseball Diamond T-Shirt","http://www.amazon.com//dp/B0C1T973TQ","Visit the Disney Store","1","283","$22.99","Clothing, Shoes &amp; Jewelry","76,551","18","$414","43 ","4.4","-"
"49","Life is Good Women's Crusher Graphic T-Shirt","http://www.amazon.com//dp/B08CPHCT66","Visit the Life is Good Store","1","1","$29.50","Clothing, Shoes &amp; Jewelry","66,151","19","$561","7 ","4.7","-"
"50","Disney Lion King Hakuna Matata T-Shirt for Adults","http://www.amazon.com//dp/B073SVTP1K","Visit the Disney Store","1","1","$19.00","Clothing, Shoes &amp; Jewelry","71,041","18","$342","1,752 ","4.4","-"
"52","Disney Pixar Toy Story Pizza Planet Left Chest Logo T-Shirt","http://www.amazon.com//dp/B08JRF59BR","Visit the Disney Store","1","479","$23.99","Clothing, Shoes &amp; Jewelry","74,611","18","$432","177 ","4.7","-"
"53","Disney Lilo &amp; Stitch Aloha Hawaii Come Visit The Islands T-Shirt","http://www.amazon.com//dp/B08699ZTR1","Visit the Disney Store","1","220","$22.99","Clothing, Shoes &amp; Jewelry","109,065","17","$391","653 ","4.6","-"
"54","Wicked Pink And Green Logo T-Shirt","http://www.amazon.com//dp/B0DHYMNGVV","Visit the wicked Store","1","215","$22.99","Clothing, Shoes &amp; Jewelry","75,712","18","$414","222 ","4.4","-"
"55","Disney Pixar Cars Lightning McQueen Big Face Short Sleeve T-Shirt","http://www.amazon.com//dp/B082X81R6P","Visit the Disney Store","1","1","$22.99","Clothing, Shoes &amp; Jewelry","60,543","19","$437","747 ","4.6","-"
"56","Pokémon - Pikachu Charmander Bulbasaur Squirtle Kanto Circle T-Shirt","http://www.amazon.com//dp/B0DBN56H54","Visit the Pokemon Store","1","27","$22.99","Clothing, Shoes &amp; Jewelry","101,997","17","$391","17 ","4.5","-"
"57","Disney Mickey And Friends Mickey Mouse Lean T-Shirt","http://www.amazon.com//dp/B082DYJF2Z","Visit the Disney Store","1","253","$22.99","Clothing, Shoes &amp; Jewelry","82,252","18","$414","1,548 ","4.7","-"
"58","Disney Mickey &amp; Friends Mickey Mouse Vintage Portrait T-Shirt","http://www.amazon.com//dp/B08JRX28CS","Visit the Disney Store","1","225","$22.99","Clothing, Shoes &amp; Jewelry","82,960","18","$414","450 ","4.4","-"
"59","Columbia Men's PFG Tamiami II UPF 40 Long Sleeve Fishing Shirt","http://www.amazon.com//dp/B07DQF2SYV","Visit the Columbia Store","1","298","$55.00","Clothing, Shoes &amp; Jewelry","3,860","251","$13,805","6 ","4.5","-"
"60","Star Wars Classic Bright Neon Poster Art Disney+ T-Shirt","http://www.amazon.com//dp/B07PKDV3VB","Visit the STAR WARS Store","1","354","$22.99","Clothing, Shoes &amp; Jewelry","94,670","17","$391","656 ","4.6","-"
"61","Disney A Goofy Movie Max &amp; Roxanne Eye To Eye Forever T-Shirt","http://www.amazon.com//dp/B08HTF5HXM","Brand: Whaline","1","253","$22.99","Clothing, Shoes &amp; Jewelry","129,375","17","$391","708 ","4.7","-"
"62","Disney Pixar Cars Lightning McQueen Kachow! Retro Shot T-Shirt","http://www.amazon.com//dp/B0CSTCC565","Visit the Disney Store","1","267","$22.99","Clothing, Shoes &amp; Jewelry","113,446","17","$391","41 ","4.5","-"
"63","Star Wars Classic Epic Lightsabers Jedi Force Logo T-Shirt","http://www.amazon.com//dp/B0BX4HJW2F","Visit the STAR WARS Store","1","88","$22.99","Clothing, Shoes &amp; Jewelry","79,284","18","$414","123 ","4.7","-"
